Sl. No.,District,LSGs needing special attention,Containment Zones - ward
1,Kannur,Aalakkod,2, 13, 19
2,Kannur,Chirakkal,4, 6, 5, 7, 16
3,Kannur,Chittaripparamba,3, 5, 7 ,13, 14
4,Kannur,Iritty (M),2, 13, 14, 16
5,Kannur,Kannur (C),1, 14, 15, 17, 20, 31, 33,40, 43, 50
6,Kannur,Panoor,All Wards
7,Kannur,Koothuparamba (M),1, 3, 6, 11, 13, 16, 20, 25, 27, 28
8,Kannur,Kottayam-Malabar,1, 2 ,4, 8, 11
9,Kannur,Mattannur (M),7, 12, 17, 28
10,Kannur,Mokeri,2, 3, 5, 6,14
11,Kannur,Munderi,1, 3, 4, 6, 7, 11, 20
12,Kannur,Payyannur (M),3, 20, 21, 26
13,Kannur,Peralaserry,3, 18
14,Kannur,Ramanthali,2
15,Kannur,Sreekandapuram (M),2, 8, 18
16,Kannur,Thalassery (M),1,10, 11,14, 23, 28
17,Kannur,Karivellur-Peralam,4, 10
18,Kannur,Peringome-Vyakkara,2,3
19,Kannur,Chembilode,3, 5, 9, 14, 15, 16, 17, 19
20,Kannur,Kathiroor,1, 2, 7, 12, 16, 18
21,Kannur,Kolayad,2, 7, 8
22,Kannur,Maloor,1, 2, 13, 14
23,Kannur,Chokli,15
24,Kannur,Thaliparamba (M),19, 30
25,Kannur,Mayyil,6, 11,17
26,Kannur,Keezhallur,2, 10
27,Kannur,Kunnothuparamba,All Wards
28,Kannur,Anthoor,1, 10, 11, 22
29,Kannur,Peravoor,2, 6, 8, 10, 11, 16
30,Kannur,Vengad,1, 3, 9,10,12, 18
31,Kannur,Trippangottur,1, 3, 9, 11, 13,15,16 , 17, 18
32,Kannur,Cherupuzha,10
33,Kannur,Anjarakkandi,7, 10, 15
34,Kannur,Mangattidam,2, 3, 11
35,Kannur,Contonment Board,All wards
36,Kannur,Kadambur,2, 3, 10
37,Kannur,Panniannur,2
38,Kannur,Kannapuram,4, 8
39,Kannur,Azeekkode,15, 18, 23
40,Kannur,Ulikkal,16
41,Kannur,Kolacheri,9, 10
42,Kannur,Thillankeri,6, 7, 10
43,Kannur,Irikkoor,4
44,Kannur,Cheruthazham,10, 14, 16
45,Kannur,Naduvil,17
46,Kannur,Eramam Kuttur,5, 11
47,Kannur,Pariyaram,2, 16
48,Kannur,Pappinissery,2, 5, 12, 13
49,Kannur,Ezhom,14
50,Kannur,Pinarayi,8, 12
51,Kannur,Eruvessi,2, 7
52,Kannur,Cherukunnu,6
53,Kannur,Chengalayi,1
54,Kannur,Kottiyoor,1, 6
55,Kannur,Madai,12, 14
56,Kannur,Aralam,10
57,Kannur,Pattuvam,6, 9
58,Kannur,Kadannappally Panappuzha,11, 12, 13
59,Kannur,Kurumathoor,10
60,Kannur,Kuttiyattoor,11
61,Kannur,Ayyankunnu,6, 14
