District,Confirmed,Recovered,Active, Death
Thiruvananthapuram,49167,38033,10743,349
Malappuram,40266,30338,9807,113
Kozhikode,36334,25505,10714,109
Ernakulam,33781,21383,12287,102
Thrissur,27140,17617,9447,72
Kollam,25539,18300,7148,86
Alappuzha,23989,17325,6583,70
Palakkad,20674,13389,7244,40
Kannur,19459,13404,5971,81
Kottayam,17815,11353,6428,34
Kasargode,16372,12595,3709,64
Pathanamthitta,12323,9211,3104,7
Idukki,5737,4078,1650,7
Wayanad,5632,4458,1169,5
TOTAL,334228,236989,96004,1139
