KASARGOD,DATE,CONFIRMED ,RECOVERED ,ACTIVE,DEATH
kasargod,3/2/2020,1,0,1,0
kasargod,16-02-2020,0,1,0,0
kasargod,16-03-2020,1,0,1,0
kasargod,19-03-2020,1,0,2,0
kasargod,20-03-2020,6,0,8,0
kasargod,21-03-2020,6,0,14,0
kasargod,22-03-2020,5,0,19,0
kasargod,23-03-2020,19,0,38,0
kasargod,24-03-2020,6,0,44,0
kasargod,26-03-2020,3,0,47,0
kasargod,27-03-2020,34,0,81,0
kasargod,28-03-2020,1,0,82,0
kasargod,29-03-2020,7,0,89,0
kasargod,30-03-2020,17,0,106,0
kasargod,31-03-2020,2,0,108,0
kasargod,1/4/2020,12,0,120,0
kasargod,2/4/2020,8,0,128,0
kasargod,3/4/2020,7,4,131,0
kasargod,4/4/2020,6,0,137,0
kasargod,5/4/2020,1,0,138,0
kasargod,6/4/2020,9,0,147,0
kasargod,7/4/2020,4,1,150,0
kasargod,8/4/2020,1,0,151,0
kasargod,9/4/2020,4,0,155,0
kasargod,10/4/2020,3,18,140,0
kasargod,11/4/2020,2,9,133,0
kasargod,12/4/2020,0,28,105,0
kasargod,13-04-2020,0,12,93,0
kasargod,14-04-2020,1,6,88,0
kasargod,15-04-2020,0,4,84,0
kasargod,16-04-2020,1,24,61,0
kasargod,17-04-2020,0,6,55,0
kasargod,18-04-2020,0,2,53,0
kasargod,19-04-2020,1,8,46,0
kasargod,20-04-2020,0,19,27,0
kasargod,21-04-2020,3,4,26,0
kasargod,23-04-2020,0,6,20,0
kasargod,24-04-2020,3,5,18,0
kasargod,25-04-2020,0,2,16,0
kasargod,26-04-2020,0,1,15,0
kasargod,28-04-2020,1,2,14,0
kasargod,29-04-2020,1,3,12,0
kasargod,30-04-2020,1,2,11,0
kasargod,1/5/2020,0,4,7,0
kasargod,3/5/2020,0,1,6,0
kasargod,4/5/2020,0,3,3,0
kasargod,7/5/2020,0,2,1,0
kasargod,10/5/2020,0,1,0,0
kasargod,11/5/2020,4,0,4,0
kasargod,14-05-2020,10,0,14,0
kasargod,15-05-2020,1,0,15,0
kasargod,17-05-2020,1,0,16,0
kasargod,18-05-2020,2,0,18,0
kasargod,20-05-2020,1,1,18,0
kasargod,21-05-2020,1,0,19,0
kasargod,22-05-2020,7,0,26,0
kasargod,23-05-2020,4,1,29,0
kasargod,24-05-2020,5,2,32,0
kasargod,25-05-2020,14,6,40,0
kasargod,26-05-2020,3,2,41,0
kasargod,27-05-2020,10,2,49,0
kasargod,28-05-2020,18,0,67,0
kasargod,29-05-2020,4,1,70,0
kasargod,30-05-2020,3,0,73,0
kasargod,31-05-2020,10,1,82,0
kasargod,1/6/2020,14,0,96,0
kasargod,2/6/2020,9,7,98,0
kasargod,3/6/2020,3,4,97,0
kasargod,4/6/2020,12,0,109,0
kasargod,5/6/2020,1,7,103,0
kasargod,6/6/2020,10,1,112,0
kasargod,7/6/2020,3,6,109,0
kasargod,8/6/2020,8,7,110,0
kasargod,9/6/2020,2,0,112,0
kasargod,10/6/2020,0,11,101,0
kasargod,11/6/2020,10,5,106,0
kasargod,12/6/2020,4,2,108,0
kasargod,13-06-2020,9,6,111,0
kasargod,14-06-2020,6,1,116,0
kasargod,15-06-2020,3,4,115,0
kasargod,16-06-2020,2,8,109,0
kasargod,17-06-2020,9,0,118,0
kasargod,18-06-2020,3,11,110,0
kasargod,19-06-2020,4,4,110,0
kasargod,20-06-2020,7,2,115,0
KANNUR,9/3/2020,1,0,1,0
kannur,10/3/2020,2,0,3,0
kannur,12/3/2020,1,0,4,0
kannur,21-03-2020,3,0,7,0
kannur,22-03-2020,4,0,11,0
kannur,23-03-2020,5,1,15,0
kannur,26-03-2020,9,1,23,0
kannur,27-03-2020,2,0,25,0
kannur,29-03-2020,8,0,33,0
kannur,30-03-2020,11,0,44,0
kannur,31-03-2020,1,2,43,0
kannur,1/4/2020,2,0,45,0
kannur,2/4/2020,1,0,46,0
kannur,3/4/2020,1,5,42,0
kannur,4/4/2020,1,7,36,0
kannur,5/4/2020,1,4,33,0
kannur,6/4/2020,0,1,32,0
kannur,7/4/2020,2,5,29,0
kannur,8/4/2020,4,1,32,0
kannur,9/4/2020,4,5,31,0
kannur,10/4/2020,2,6,27,0
kannur,11/4/2020,7,0,34,0
kannur,12/4/2020,1,0,35,0
kannur,13-04-2020,2,1,36,0
kannur,14-04-2020,4,0,40,0
kannur,15-04-2020,1,0,41,0
kannur,16-04-2020,4,1,44,0
kannur,18-04-2020,3,0,47,0
kannur,19-04-2020,1,3,45,0
kannur,20-04-2020,6,0,51,0
kannur,21-04-2020,10,9,52,0
kannur,22-04-2020,7,0,59,0
kannur,23-04-2020,0,1,58,0
kannur,24-04-2020,0,3,55,0
kannur,25-04-2020,1,2,54,0
kannur,26-04-2020,0,1,53,0
kannur,27-04-2020,1,6,48,0
kannur,28-04-2020,3,2,49,0
kannur,29-04-2020,1,3,47,0
kannur,30-04-2020,0,2,45,0
kannur,1/5/2020,0,4,41,0
kannur,2/5/2020,1,6,36,0
kannur,4/5/2020,0,19,17,0
kannur,7/5/2020,0,3,14,0
kannur,8/5/2020,0,10,4,0
kannur,10/5/2020,0,2,2,0
kannur,13-05-2020,1,0,3,0
kannur,14-05-2020,2,1,4,0
kannur,16-05-2020,0,2,2,0
kannur,17-05-2020,2,0,4,0
kannur,18-05-2020,3,0,7,0
kannur,19-05-2020,5,0,12,0
kannur,20-05-2020,3,1,14,0
kannur,21-05-2020,4,0,18,0
kannur,22-05-2020,12,0,30,0
